,Transacton_Id,Account_no,Time_stamp,Amount,Transaction_mode
58,8e6ff0279f4ab58,1097487350353120,2021-03-15 13:05:35,+8650,Cheque
59,514f8f7512ad85e,1044525923763110,2021-10-01 00:17:45,+40375,NEFT
60,3366b2e73f2bd4a,1060556916689770,2021-01-09 12:46:02,-13375,Wire Transfer
61,4fd73c7c509ad87,1079002636656390,2021-12-05 12:38:35,+22150,RTGS
62,118f007019bdc10,1057719849275620,2022-01-05 05:17:14,-13375,Wire Transfer
63,65edd7f8a19bbd9,1037541346671790,2021-12-16 01:04:35,+48925,Cheque
64,3aafd5978ddd414,1026013378282630,2021-05-06 12:14:40,+30925,NEFT
65,a32dd74cd217e26,1097729540124870,2021-11-30 17:12:35,-59500,Cheque
66,f4b879222a64bcd,1018039963228090,2022-02-16 08:07:04,-4600,Cheque
67,50561d8ec728490,1014490051504640,2021-06-27 21:20:13,-21700,Wire Transfer
68,870f23e87baa1bd,1061253910577220,2021-10-28 09:09:20,-33175,RTGS
69,4e1889f5e2f53e1,1070456591848220,2021-07-31 10:01:21,+44425,RTGS
70,999b83af41c6b33,1066238667165500,2021-09-26 14:32:13,-25075,Cheque
71,db022846e3c08c8,1053157110236380,2022-02-26 20:27:12,-58375,Cheque
72,56bdf2a21a843e8,1027840372157110,2022-06-09 09:20:27,+35425,NEFT
73,5373527741406f9,1042414891687080,2021-05-12 14:52:21,-12925,NEFT
74,03cc3825a8405fb,1051493138367010,2021-07-30 08:44:44,-16075,RTGS
75,4bc71ad5d3ea71d,1049225153074520,2021-05-13 15:58:21,-44650,RTGS
76,00201c83599e407,1081952311520030,2021-07-17 22:11:52,+49150,Cheque
77,addd1a67b67475b,1039497070622520,2021-08-17 10:52:37,-325,NEFT
78,a10d5a788c50179,1085988577384900,2022-07-03 15:03:26,+17875,NEFT
79,e24edb96954f93a,1070058222191670,2021-06-09 11:34:35,+21700,Cheque
80,388e7a9086ac287,1027439016687360,2021-05-20 17:33:11,-37450,Wire Transfer
81,c4c38d8e5812097,1088260302782830,2022-04-04 02:11:12,-25975,Wire Transfer
82,35bc4f26ad4ccdd,1026503902320710,2022-05-03 07:52:56,-18325,RTGS
83,11305c0cfae5028,1044142961340200,2022-01-20 17:37:20,+5725,NEFT
84,435ccdc78dea2ac,1055352225982480,2022-02-28 06:34:24,+34975,Wire Transfer
85,062cb562c3abb67,1066304307086570,2022-03-27 20:17:18,-27550,RTGS
86,734fbda99eb31af,1026638011581020,2021-07-22 05:51:27,+58600,NEFT
87,3568c625ca90a6b,1025582859765320,2021-07-05 13:41:54,-5050,NEFT
88,05e2f2519090329,1054865302585080,2021-03-01 15:54:15,+46225,Wire Transfer
89,80c993c4a834c85,1082482470218320,2022-06-20 23:12:20,-26425,Wire Transfer
90,c06276732bc782c,1075086877757350,2021-02-08 10:10:40,-43525,Cheque
91,83f11481cb9ede2,1064493810849600,2021-08-12 18:29:36,+10450,RTGS
92,e60457a6ed53dc5,1018196636166210,2021-12-01 22:05:13,-16750,NEFT
93,9bc0ab3335bdcad,1018895934176140,2021-08-28 04:00:32,+20125,RTGS
94,79402a590c7f4b0,1037987694012730,2021-11-26 05:07:42,-57925,Cheque
95,80ae3b7b28e9ff6,1087377835705850,2021-11-08 00:57:36,-30700,Cheque
96,40f10b7a5d252a4,1032284652995660,2021-08-20 04:50:14,-3925,Wire Transfer
97,bf822e801069072,1028072089419070,2022-02-26 16:29:54,+32725,Cheque
98,6d9cbf5b8dfb72a,1040547657162040,2022-09-07 07:37:14,+38350,NEFT
99,e2934c265de0d38,1062542306999820,2022-07-09 05:28:44,-14275,Wire Transfer
100,5e66ebbabf3cd51,1089543033239480,2021-10-13 14:56:38,+33175,RTGS
101,6dabcb327f31b42,1044236894105640,2021-08-24 17:05:00,+22375,Cheque
102,380eff7192698a5,1056042769019200,2022-07-07 09:29:15,-28450,NEFT
103,1c259b7537c55d4,1072033204381510,2021-09-03 14:57:32,+37450,RTGS
104,6579bb6375f1854,1094152291527470,2021-09-26 05:48:09,-58825,RTGS
105,70810c44581288d,1092908881897210,2021-03-17 07:07:54,-40375,RTGS
106,cf42105359a07c3,1045940281971560,2021-09-12 04:57:36,-15175,Wire Transfer
107,e1a8be942b55490,1024987304737570,2021-09-26 10:48:02,+35650,NEFT
108,b9cf41a3b08b210,1062974985499730,2021-02-14 16:16:57,+12250,Cheque
109,6c046e37f1d32a5,1069472283219250,2022-01-09 05:13:43,+18325,RTGS
110,a0366801d5bea17,1030303145220280,2022-06-11 17:39:41,+7975,Cheque
111,0269d8ff6760467,1057731504033100,2022-02-23 12:32:26,-23725,Cheque
112,248d1a1aff91d75,1026339892494240,2022-03-22 03:51:40,-7525,NEFT
113,11cb2aa37721ad4,1013883710965790,2022-05-22 07:34:22,+11800,Cheque
114,8d48d4e4bf0e30e,1051915025445600,2022-09-15 04:56:39,+4375,Wire Transfer
115,d7ff50d50803c49,1040567038052240,2022-04-01 11:38:07,-3700,NEFT
116,bd7b9ff9dea7453,1063632076425010,2022-09-25 05:23:16,+47350,Wire Transfer
117,16cee254c5cc711,1012408769504400,2021-02-14 12:00:13,-56125,NEFT
118,710a6b82589f1db,1097299151428870,2021-05-25 07:01:38,+19225,NEFT
119,b33a08f8b10d39c,1099744659889960,2022-03-11 09:48:29,-14050,Wire Transfer
120,8196fcc664be0ea,1069794927018300,2021-06-15 08:50:35,-36100,RTGS
121,348f291359b974c,1034468772640130,2022-01-08 09:55:20,-19225,Wire Transfer
122,170420b893ade51,1097530043349770,2022-01-01 19:40:04,+4150,NEFT
123,1836bfd4fde6693,1072396313111380,2021-10-24 02:51:31,-42400,RTGS
124,c168331647e5513,1074600734704540,2021-11-30 07:19:32,+3925,Cheque
125,99493a34a72c9fb,1034974731384420,2021-12-03 03:31:50,-325,NEFT
126,c4afb1cb98a7af5,1019089233431300,2021-02-09 09:15:54,-53650,NEFT
127,dbb401e539a59b4,1083696036858590,2022-01-06 05:56:32,-8200,NEFT
128,70b3fbceccb258e,1057724396283780,2022-02-24 23:11:48,-27100,Cheque
129,6a63e781ed9bde0,1035408008421720,2022-05-20 02:11:23,-52750,Cheque
130,edb11d2c5554604,1049283427987930,2021-06-26 16:56:58,+25750,RTGS
131,8b02b7eb77a468b,1062048223926010,2021-07-18 18:06:41,-59725,Wire Transfer
132,a03fb563c32f158,1030830800870860,2021-03-08 10:23:36,-37675,NEFT
133,771c86e5b281258,1040625260724360,2022-02-01 21:37:00,+6625,RTGS
134,de5ee7ddd7752a4,1065368391061170,2021-10-22 13:55:32,+43750,NEFT
135,427483ef4853d95,1061375411428360,2022-06-07 23:09:45,+6850,Cheque
136,5af874a3303dd30,1065306078418030,2022-03-11 13:46:05,-30025,Cheque
137,11138b53c516e68,1080246989147370,2022-05-29 14:52:25,-49150,Cheque
138,f51bc383c92c764,1036969188452330,2021-03-11 13:55:47,-49375,NEFT
139,28fdd9efdde18b0,1049258626246650,2022-02-25 10:29:13,-7075,Cheque
140,0a901a6471934e9,1018569913798500,2021-11-15 21:27:58,+4150,RTGS
141,846dc4d0db0ace9,1062876294448350,2022-09-15 09:15:13,+20800,Wire Transfer
142,c9d1faa89d98b64,1063136548609220,2022-06-09 02:12:56,-12250,NEFT
143,dfa29ffef9dcc5f,1092128352747090,2022-01-10 19:04:45,+35425,Wire Transfer
144,2443a970baf9b7f,1015966311757750,2022-06-12 00:37:17,-49375,Wire Transfer
145,23deff446a014ff,1027137598543310,2021-12-08 18:35:43,-1900,RTGS
146,a5d4128eeb1690e,1042547275328430,2021-10-31 21:08:54,+22150,Wire Transfer
147,ceec87dd37403b0,1020824659078180,2021-12-30 21:28:41,+20800,Wire Transfer
148,d2a7b8d20ea5ab0,1015990378551730,2022-02-13 00:03:37,-47575,RTGS
149,88e762c0ce9aac4,1065044258551850,2022-04-01 20:21:48,+30475,Wire Transfer
150,e16de56ddeb1ad8,1080359242029850,2021-10-10 11:04:00,-19000,RTGS
151,d912efad991557a,1067604531189320,2022-06-19 14:08:33,+48925,NEFT
152,178bc6e14804eb9,1069660242261530,2022-04-21 00:31:50,-28900,RTGS
153,38c344077e6d3b4,1017136642400590,2022-05-28 13:42:43,+19675,Wire Transfer
154,f71359172002f8f,1061213729171140,2022-08-22 14:55:16,-2125,RTGS
155,e4c3a7127b4956e,1013241905064630,2021-04-17 22:21:27,+55450,NEFT
156,e4b95ff7eb23fb8,1047286689488760,2021-01-12 03:50:57,-47575,NEFT
157,6b02a9ed178bc50,1049950054412290,2021-09-29 15:02:00,-5050,Cheque
158,f328dbbf5067df2,1068225919439590,2021-01-13 04:25:49,-43075,NEFT
159,03f2d38c411b423,1032733810909820,2021-10-28 07:15:11,-5275,NEFT
160,f9fda23549bee4f,1084770470318560,2022-04-16 16:18:57,-47350,NEFT
161,6b3b64ba6c3d817,1047781685200360,2022-08-08 20:02:58,+28000,Cheque
162,d294aea533c86a2,1048204273146130,2021-03-15 22:47:35,+50725,NEFT
163,731d6c9c1915a74,1081930016828220,2021-06-24 23:40:55,+49150,RTGS
164,711056dbfe3bdd7,1055271660234660,2021-06-01 20:03:36,-6400,NEFT
165,68d9a1e6d497cdc,1055910701240620,2021-10-02 07:37:18,+13825,Wire Transfer
166,cb4c7c2339a472d,1086915488519890,2022-08-23 07:53:50,+13600,Wire Transfer
167,c457f0d857fa3d7,1020590217302920,2022-07-05 19:40:09,-33850,Cheque
168,42c7cf2b8e80c2e,1042612301945650,2021-11-05 00:26:06,-33400,NEFT
169,6fc09a0eb0c7b17,1038938437101010,2022-03-27 22:31:45,+39700,NEFT
170,e34a4e9a4eca1d1,1049009861346140,2021-02-11 04:00:51,+59950,Wire Transfer
171,cd109cc8c8a8ff5,1023050511068550,2021-08-25 22:00:36,-1900,RTGS
172,48bfa96ef62fc9c,1058505092638200,2022-03-01 00:28:26,-2125,NEFT
173,6cf091a3d47070c,1051594868081330,2022-05-15 04:59:21,+22825,Wire Transfer
174,b231372f9d17808,1029816402507780,2022-02-19 14:03:48,-48925,Cheque
175,fb7c1218148ad69,1056805187557870,2022-02-25 17:21:20,+13375,RTGS
176,7793d2ec1702090,1059437780625890,2021-04-08 02:02:19,+19450,NEFT
177,912574adac8a4f0,1089625213262880,2021-08-01 15:00:14,+19225,RTGS
178,08843fc0393eb71,1019695129530570,2021-01-06 14:06:07,-18775,RTGS
179,f04a8af8faf227c,1049133547495930,2021-10-09 20:32:24,+17650,Cheque
180,4d54efa52fe1f8c,1012530845581530,2022-08-01 02:59:46,+41950,RTGS
181,e9de95328b287e2,1046325198972600,2021-06-07 22:40:00,+30475,Wire Transfer
182,eb1650953d2674c,1098388629355830,2022-02-14 14:32:47,-9100,Cheque
183,e331c90c11bae78,1059809288003910,2021-04-28 17:43:36,-52075,Cheque
184,db28670705bf3a3,1052348440815080,2021-03-28 11:51:30,+29350,Wire Transfer
185,4a14f39b08b4a70,1015231568614010,2021-01-02 20:58:04,-16525,RTGS
186,231211a4fe349a0,1019424256972770,2021-08-19 15:15:15,-28225,Wire Transfer
187,bee74d201808450,1062407679826240,2022-01-29 15:47:14,-51850,Cheque
188,8636bba492022f9,1067230085807300,2021-11-01 02:05:14,-39475,Wire Transfer
189,e1ba647d6a98469,1035724211644180,2022-08-04 02:24:59,-8200,Cheque
190,205c2ec65e45cd6,1028328257508700,2021-01-28 09:50:11,+15850,Wire Transfer
191,6e4e54323d1d3b0,1070818935380620,2021-11-03 08:34:33,-35650,NEFT
192,71c27a7c93c2fa6,1037487703615750,2022-07-23 15:10:44,-25525,Wire Transfer
193,16ae7d3dea6a95b,1092114537077550,2022-08-06 21:39:20,-20575,Wire Transfer
194,c2ce34f1c867e7b,1034912053659050,2021-06-04 12:21:36,-39925,Wire Transfer
195,d0b1c173f0dd280,1011951764009430,2021-06-09 05:34:54,-34975,Wire Transfer
196,7da9b62e89e63e7,1085731527103540,2021-12-29 01:37:44,-43075,Wire Transfer
197,05c582059303d6d,1057731861536520,2021-12-10 03:14:18,-41050,Wire Transfer
198,4b4481e01628d45,1040152273175010,2021-07-30 23:59:42,+49600,Cheque
199,3b7dc57c30a41ad,1096734527606140,2022-03-10 00:52:35,-43525,Wire Transfer
200,a3750c9cc0b11c1,1090945537895060,2022-07-01 02:49:43,+25750,NEFT
201,a34acde6a384bfe,1089655499041020,2021-08-30 16:57:35,-27775,Wire Transfer
202,9747d8f497ebb17,1085195059612180,2022-08-15 04:14:04,+51175,Wire Transfer
203,3b4051159ca9d23,1044055808197960,2021-05-12 08:22:10,+22375,RTGS
204,c7708d4b1e68074,1086114736420610,2022-09-15 09:13:30,+58375,Wire Transfer
205,a562fb0ffbe3594,1098284801874140,2022-09-19 01:51:48,-57250,Cheque
206,77b727319f5c97f,1016144965799570,2022-01-29 00:59:10,+42175,RTGS
207,d0bd44c7f2b0633,1094056072041950,2021-10-26 07:08:45,+30025,Wire Transfer
208,64a72c7e1e21a70,1014108832833920,2021-04-07 13:42:10,+11575,Wire Transfer
209,4c87f1d879f535b,1023983926739420,2021-06-20 05:05:02,+5275,RTGS
210,0a4adab624ef7d5,1066006409772140,2022-04-13 22:51:50,+26650,Wire Transfer
211,089a8c45952a88f,1021265383220130,2021-11-26 12:34:42,-17650,Wire Transfer
212,b5a5539d24107b0,1026633358429480,2022-06-18 20:27:49,-38125,Cheque
213,ec2cdc6593f3c91,1080378189879290,2022-06-21 08:57:23,-18775,NEFT
214,c3d7978ee4bce7e,1029617286990390,2022-06-06 13:38:38,+19225,Wire Transfer
215,6b5d02ae236b6a0,1031348587150380,2022-03-16 12:20:18,-46000,RTGS
216,7ead8852e98294a,1017558752667110,2021-04-26 09:47:40,-58600,NEFT
217,b37a6a22f1c851d,1014609080512520,2021-03-12 12:00:49,+42625,NEFT
218,5fb641b48cf6fca,1092617764675840,2021-12-16 21:11:09,-24175,RTGS
219,b7ae0e7b1664efb,1084001871683130,2021-05-22 14:24:40,-100,NEFT
220,91e3a6cd6b17e65,1015302002850060,2022-05-17 19:18:09,-50275,RTGS
221,5de0093118dc792,1040287016535450,2022-03-12 21:45:27,+59500,RTGS
222,6980c20632c61a7,1014111719126120,2021-06-25 17:26:26,-3025,RTGS
223,050725283afe828,1062555718314590,2021-07-09 17:31:13,+10450,NEFT
224,c6d66daa25062cf,1095855718366620,2022-01-30 23:18:10,+50275,Cheque
225,5d0fda1d1171e0d,1016262601659350,2022-09-04 13:37:58,-53200,NEFT
226,55a6523425f1245,1019785597085290,2021-03-29 08:57:02,+36550,RTGS
227,d9751f430d4d055,1020950206234790,2021-11-16 22:56:26,-14725,Cheque
228,d3dc3cd3efae3be,1065778390454470,2021-09-19 12:22:44,-50050,NEFT
229,bfc8e96c16a8b71,1023241977104490,2022-09-15 07:17:04,+3700,NEFT
230,7a9a4ff445df2a3,1024195895694310,2022-01-24 06:08:21,-12700,Cheque
231,ea07e3d86ef8b19,1060293187287950,2021-07-01 01:55:37,-100,Wire Transfer
232,2903c7335a78f82,1046517722301680,2021-03-26 01:16:27,+27100,RTGS
233,990b683098a37e0,1020733793197100,2022-03-12 22:40:11,-16075,RTGS
234,eee5bb3c249b013,1072633426179360,2021-04-01 14:47:28,+23725,Cheque
235,e38c6e2d41ebbd3,1047728658105200,2021-09-06 06:33:41,-40375,NEFT
236,9970e43e4e6540d,1047489099547610,2021-06-25 23:46:55,+19675,RTGS
237,e96ba76b9ce2ecc,1089850121831720,2021-11-13 20:55:36,+32050,Wire Transfer
238,1c20d3b1f8907af,1037583273883760,2022-07-05 22:21:31,+36325,Wire Transfer
239,10e10ecfd8a61c4,1089359897694400,2021-04-24 07:28:21,-6850,Cheque
240,817e28b289313d0,1076753121954760,2021-04-24 12:01:32,-59500,RTGS
241,1e4dca197e8d0eb,1072454837295260,2022-07-02 14:54:54,+30025,Wire Transfer
242,341b2a028f94406,1089145103008640,2022-03-28 10:00:36,+20350,RTGS
243,32fc84ce7bf797c,1077553278107020,2022-04-03 17:58:45,+7075,RTGS
244,a0a75902affd0af,1029166125978500,2021-02-07 22:20:19,+42850,NEFT
245,ba9b8948933eec9,1038375795424530,2022-08-05 12:15:05,+8650,RTGS
246,916f4d6f9d1ae5d,1070704751174400,2021-02-16 09:16:54,+38125,Cheque
247,bc2e130a6883e18,1036912859393250,2021-03-19 00:14:34,+30700,Cheque
248,582d87945d8d2f9,1071681602226870,2021-08-17 07:26:45,-10675,Wire Transfer
249,b266f87546e172b,1043046540007520,2022-04-25 07:47:16,-55000,NEFT
250,9c0402fc62c9511,1075089868655430,2022-05-09 12:00:31,-24850,Wire Transfer
251,5d147097acfd5d3,1080049175024920,2021-06-11 14:34:13,-52300,Wire Transfer
252,4108e8e471d1707,1087568145025040,2022-04-17 16:07:53,+55000,Wire Transfer
253,bd753dc4d7101fd,1070969251431340,2022-09-10 05:35:44,-36550,NEFT
254,51130522eb6b19a,1017107756956550,2022-09-12 14:31:28,+13375,Wire Transfer
255,d132e344b89f131,1086200114036770,2022-01-01 18:22:17,-14950,Cheque
256,5df3bba99a0e211,1045834340607780,2021-03-29 16:10:22,-52975,Cheque
257,3fed4d4c8d87328,1096500034473870,2022-07-12 14:44:50,+14500,NEFT
258,101081a22241c2e,1090071593945780,2021-03-11 15:32:59,-46000,Wire Transfer
259,7ac8bc89ce5f6ca,1057479686819280,2022-02-11 10:50:26,+57700,Cheque
260,c2b8d841deb55e1,1033591157340460,2022-03-13 19:03:30,-43750,Cheque
261,ae2efcc00c9cb73,1029205401972680,2021-05-15 10:45:47,+16975,Wire Transfer
262,045bcbbbf05db7d,1041133583558220,2021-06-26 14:21:47,-46900,RTGS
263,daafe6ad06a1114,1021621822588560,2021-08-14 12:47:37,+50500,NEFT
264,ac23b79dd04a55d,1048336515904900,2022-07-30 15:09:29,+34075,NEFT
265,096b45844339aad,1060013317749950,2022-09-07 01:20:09,-15400,RTGS
266,d62154f9ec05a38,1064712285574220,2022-03-15 15:23:10,+12475,NEFT
267,2e18db426f4975c,1089471861919050,2022-03-02 23:15:04,+38350,RTGS
268,c18da24010a783b,1044777645793160,2021-10-01 19:38:31,+54775,Cheque
269,6f1e0f133b472bb,1093762223440210,2022-06-27 14:53:49,-51625,Cheque
270,4e1a3bd490ff3be,1031177303228560,2021-06-21 21:35:02,-48475,RTGS
271,1aeccb6b33d7daf,1057356819985310,2022-02-15 12:38:03,+20800,Wire Transfer
272,65ef98857cd6b09,1052910904938140,2021-04-23 23:04:48,+17875,Wire Transfer
273,892448a706f7844,1090652457654200,2022-03-02 05:06:16,+21475,Wire Transfer
274,4a806c6f4f89ca6,1025435900710780,2021-02-02 12:44:39,-43750,NEFT
275,b60572cd26de7a5,1058816199067110,2022-06-22 02:29:11,-21025,Wire Transfer
276,2c96f417b290cca,1098512738892750,2021-04-14 07:50:14,+40600,Wire Transfer
277,3bf8e36ae8cd83a,1074234188879220,2022-09-06 15:22:08,+39025,RTGS
278,384938ababab334,1060951815757510,2021-07-25 20:41:55,-1000,RTGS
279,5ebf1805b70f64a,1063985530562290,2021-01-16 07:02:41,-52975,NEFT
280,6db32adf4fbb4c1,1089343452620960,2021-01-20 07:39:28,+11125,RTGS
281,de442d9166a0dd2,1096867258130220,2022-03-06 19:28:14,+58150,RTGS
282,d45e854a31a791f,1081358324230820,2021-11-05 23:34:19,+57475,RTGS
283,a3330f836a6595c,1047511261409730,2021-03-27 12:27:35,-59275,NEFT
284,5341eeff64b2e2b,1055329499102420,2021-01-01 18:36:49,-43525,Cheque
285,b02c5c114610dcb,1042503338040440,2022-05-30 17:57:55,+52300,NEFT
286,38597d1bfbe5529,1057090395022020,2021-06-16 07:49:57,-23725,RTGS
287,9945e73d3616569,1064216063955350,2021-03-12 19:56:11,-59725,Cheque
288,ba4df7c5e806951,1014112228364850,2021-10-06 16:07:44,-21925,Cheque
289,c14d3acf6a82b8f,1081383378391420,2022-03-24 00:29:59,+20350,Cheque
290,a128673f9bbebc4,1076207150504250,2022-09-26 04:13:34,-22150,NEFT
291,dadc54f70d1ca7b,1060964670522140,2021-12-18 14:50:49,+49150,Wire Transfer
292,8f2af31085a4aff,1018408322586380,2022-04-27 00:05:26,-21925,RTGS
293,b36b8fe98a3ee06,1013797808958790,2021-09-25 02:49:56,+24625,NEFT
294,4ae2aadf37d7654,1076671962673550,2022-05-12 15:27:09,-37900,NEFT
295,40bffdc33ba7c5a,1051201087265320,2021-09-02 15:06:38,-49600,Wire Transfer
296,cc10dff6d4c99e2,1061916081710760,2021-04-02 06:48:10,-49600,Wire Transfer
297,9992658d489afd8,1015059795159030,2022-09-19 13:00:10,-16975,RTGS
298,1d57f3b32f767f0,1021777627173170,2022-04-10 09:11:09,+8200,RTGS
299,cc538b439fd29ac,1013785658331020,2022-01-24 14:12:13,-41725,NEFT
300,0c0775ab91b8b0b,1014918520649760,2022-06-02 13:26:46,-55225,NEFT
301,bc8f65b8406313b,1034601803804000,2022-09-24 14:40:34,+44425,Cheque
302,e513f465960602b,1041484552242870,2022-08-13 19:16:46,-14950,RTGS
303,1b86c088ec9dc3e,1083193227090790,2022-08-19 20:00:33,-48025,RTGS
304,2cb92eafc823667,1021850779827470,2022-05-06 07:23:00,-48025,NEFT
305,b7af73b5be00ae5,1079193923388070,2021-12-04 01:30:12,+15175,Cheque
306,63ab4754f08a600,1075966366913450,2021-06-24 15:26:06,+18775,NEFT
307,e26f70a6ae37fe4,1057103943767600,2021-01-05 02:20:42,-10675,Wire Transfer
308,3b358e8e70ad42d,1026033162471650,2022-09-16 23:55:01,-21475,NEFT
309,1fafa971c4614e7,1017213959394270,2021-02-01 18:15:12,+13825,Cheque
310,3dce1f88b19c1e9,1016475785680380,2021-05-24 10:50:17,-56125,NEFT
311,7c4311968fa2722,1038690606426950,2021-03-30 01:15:36,+22825,NEFT
312,3bff8ec0e66354d,1025233378273470,2021-08-01 12:12:40,-2125,RTGS
313,0e2be0f8f8c888d,1097358320518650,2021-05-03 22:07:35,-22375,RTGS
314,22b86626f9b84de,1043560958497450,2021-06-20 15:11:11,+40375,RTGS
315,21d5d848a50a8d2,1047942560067980,2021-12-30 20:54:32,-48700,RTGS
316,cb5d8af17df7fea,1089799683790130,2021-08-11 19:01:49,-55450,Wire Transfer
317,b761884af0829ac,1027220571957050,2022-06-10 14:40:58,+41500,Wire Transfer
318,fc126f83c83d9b9,1038160979635850,2022-02-05 01:00:13,-51175,NEFT
319,653b6a9aea16f66,1019364756176120,2021-07-27 17:00:51,+58375,Cheque
320,4e2bc81d3a7497e,1029866766881150,2022-01-08 01:18:03,+54550,Wire Transfer
321,3034a1029805b2c,1017820863458800,2021-04-04 09:01:07,+41725,Wire Transfer
322,6b91f5dbae33148,1099411041179390,2021-06-12 06:35:55,-1450,Cheque
323,64df1930a728629,1022282180593770,2022-08-08 12:53:40,+57700,Wire Transfer
