,Loan_id,Account_no,Sanctioned_amount,Requested_amount,Disbursed_amount,Collateral,Collateral_type,Purpose_of_loan,Branch_id
26,500055278401,1039135142114980,1248000,1600000,1123200,3744000,Fixed Deposit,Agriculture,BSABUF07
27,500056284683,1043157676802990,656000,800000,459199,3280000,Equipment and machinery,Home,BSABUF17
28,500055247920,1099592542506830,2175000,2500000,1392000,6525000,Fixed Deposit,Agriculture,BSABUF08
29,500058483920,1022585909367600,1455000,1500000,1251300,5820000,Fixed Deposit,Home,BSABUF12
30,500059593290,1079517982606560,700000,700000,70000,3500000,Vehicles,Education,BSABUF21
31,500056617176,1096007804730640,2849000,3700000,1566950,8547000,Equipment and machinery,Business,BSABUF05
32,500052559998,1049011013933760,2646000,2700000,2619540,10584000,Fixed Deposit,Business,BSABUF09
33,500053279613,1023079000938430,4232000,4600000,4020400,16928000,Equipment and machinery,Business,BSABUF04
34,500052136437,1077134043354940,1513000,1700000,847280,7565000,Residential Mortgages,Agriculture,BSABUF17
35,500056517057,1098351999347720,450000,500000,85500,1800000,Vehicles,Home,BSABUF02
36,500051153651,1040409278527490,570000,600000,336300,2280000,Residential Mortgages,Business,BSABUF06
37,500052275774,1061401657512660,3496000,3800000,3006560,10488000,Vehicles,Business,BSABUF20
38,500051304823,1058845179373620,3388000,4400000,2439360,13552000,Equipment and machinery,Education,BSABUF22
39,500056177466,1095539776450150,3102000,3300000,62040,15510000,Fixed Deposit,Home,BSABUF07
40,500054025449,1058120867480320,2697000,3100000,134850,10788000,Fixed Deposit,Business,BSABUF03
41,500052732488,1015066859340100,2871000,3300000,516780,11484000,Fixed Deposit,Home,BSABUF10
42,500059594805,1011413064152580,3969000,4900000,873180,19845000,Residential Mortgages,Business,BSABUF01
43,500053296504,1035211389740700,2976000,3100000,1220160,11904000,Vehicles,Home,BSABUF14
44,500054686133,1027631697166600,216000,300000,0,864000,Equipment and machinery,Home,BSABUF20
45,500054080133,1040791304953150,390000,500000,218400,1950000,Residential Mortgages,Home,BSABUF11
46,500054640998,1083928358464240,1232000,1600000,369600,3696000,Residential Mortgages,Business,BSABUF23
47,500056059707,1015722054084500,1032000,1200000,608880,4128000,Fixed Deposit,Agriculture,BSABUF20
48,500053484545,1041717108607150,150000,200000,136500,450000,Equipment and machinery,Education,BSABUF24
49,500058085715,1087499836041620,4851000,4900000,2716560,14553000,Fixed Deposit,Education,BSABUF10
50,500052714131,1073401560145920,1995000,2100000,19950,9975000,Vehicles,Education,BSABUF11
51,500056908623,1094298171218450,576000,600000,466560,2304000,Fixed Deposit,Agriculture,BSABUF06
52,500053426842,1070381267254550,3486000,4200000,3172260,10458000,Vehicles,Education,BSABUF20
53,500054881962,1070713269507620,780000,1000000,117000,3120000,Fixed Deposit,Business,BSABUF04
54,500056812818,1096795447808220,1530000,1700000,887399,4590000,Fixed Deposit,Agriculture,BSABUF05
55,500054311519,1083950229443610,2541000,3300000,1753289,10164000,Vehicles,Education,BSABUF24
56,500051669492,1065547294611190,2288000,2600000,960960,11440000,Fixed Deposit,Education,BSABUF08
57,500057290556,1057880062364750,3948000,4200000,1460760,11844000,Residential Mortgages,Business,BSABUF13
58,500052310000,1079863250598810,2125000,2500000,233750,8500000,Residential Mortgages,Business,BSABUF23
59,500053986717,1092578115622370,3441000,3700000,1238760,10323000,Residential Mortgages,Agriculture,BSABUF11
60,500059287469,1022131582822320,960000,1000000,652800,3840000,Fixed Deposit,Agriculture,BSABUF10
61,500057604104,1087345863982740,1600000,1600000,976000,4800000,Residential Mortgages,Home,BSABUF25
62,500058196548,1049419564140960,4018000,4100000,2571520,20090000,Residential Mortgages,Education,BSABUF07
63,500055546101,1019137978677290,4214000,4300000,379260,12642000,Residential Mortgages,Agriculture,BSABUF15
64,500055276929,1099827298734460,1932000,2100000,1835400,9660000,Vehicles,Business,BSABUF23
65,500053363838,1057865072135600,1728000,1800000,881280,8640000,Equipment and machinery,Agriculture,BSABUF03
66,500053992368,1015009492994530,92000,100000,7360,276000,Fixed Deposit,Agriculture,BSABUF06
67,500058731245,1084118822783180,511000,700000,490560,1533000,Residential Mortgages,Home,BSABUF08
68,500055343699,1041554835985050,2573000,3100000,1286500,7719000,Fixed Deposit,Home,BSABUF01
69,500052521608,1061831215242250,957000,1100000,880440,4785000,Fixed Deposit,Education,BSABUF08
70,500054096007,1084168249995420,2400000,3000000,1632000,9600000,Vehicles,Home,BSABUF10
71,500054960407,1052957629678960,2688000,2800000,698880,10752000,Fixed Deposit,Home,BSABUF20
72,500052217829,1018690875817820,2640000,3000000,633600,13200000,Vehicles,Home,BSABUF01
73,500052643370,1031138322099630,3026000,3400000,1694560,12104000,Fixed Deposit,Business,BSABUF22
74,500052915823,1014011851773280,980000,1000000,607600,2940000,Vehicles,Agriculture,BSABUF23
75,500055436735,1082510519446520,89000,100000,24920,356000,Vehicles,Home,BSABUF04
76,500055623700,1059753326960460,3520000,4000000,1548800,10560000,Fixed Deposit,Home,BSABUF18
77,500054392067,1082198376348510,1260000,1400000,630000,6300000,Residential Mortgages,Home,BSABUF23
78,500059324145,1013112581926400,2280000,2400000,1231200,6840000,Vehicles,Agriculture,BSABUF10
79,500052172268,1030814979836530,1729000,1900000,1089270,6916000,Equipment and machinery,Education,BSABUF15
80,500052361420,1058429900604840,3895000,4100000,545300,19475000,Fixed Deposit,Agriculture,BSABUF11
81,500053195206,1014822477005740,1050000,1400000,73500,5250000,Equipment and machinery,Agriculture,BSABUF18
82,500059979507,1025462819667560,430000,500000,421400,2150000,Residential Mortgages,Home,BSABUF12
83,500059619957,1058845179373620,3913000,4300000,313040,11739000,Vehicles,Agriculture,BSABUF11
84,500053995590,1017828776721660,2225000,2500000,133500,8900000,Vehicles,Education,BSABUF01
85,500057931540,1020982744340700,637000,700000,152880,1911000,Residential Mortgages,Education,BSABUF01
86,500051530694,1079773442475230,2340000,3000000,1357200,7020000,Residential Mortgages,Home,BSABUF01
87,500058164542,1060300016897480,432000,600000,194400,1296000,Residential Mortgages,Business,BSABUF23
88,500059351386,1078606905174320,970000,1000000,533500,2910000,Equipment and machinery,Business,BSABUF08
89,500058939994,1086467072139920,595000,700000,59500,2380000,Residential Mortgages,Education,BSABUF24
90,500059120486,1090658753566340,172000,200000,22360,516000,Vehicles,Education,BSABUF02
91,500054653883,1029191316494600,1944000,2400000,174960,7776000,Fixed Deposit,Agriculture,BSABUF04
92,500055391143,1060293187287950,2220000,3000000,865800,11100000,Residential Mortgages,Business,BSABUF11
93,500059166108,1049255134750230,1776000,2400000,941280,8880000,Fixed Deposit,Agriculture,BSABUF18
94,500056089878,1094951499554010,1702000,2300000,1531800,5106000,Equipment and machinery,Education,BSABUF23
95,500052116651,1080241885310930,292000,400000,148920,876000,Fixed Deposit,Agriculture,BSABUF05
96,500053893208,1075323104699430,4557000,4900000,4374720,18228000,Vehicles,Education,BSABUF06
97,500059083887,1026268287686930,4257000,4300000,638550,21285000,Vehicles,Business,BSABUF20
98,500058484504,1015529755553150,900000,1200000,504000,3600000,Vehicles,Education,BSABUF02
99,500053368686,1048510230779040,2220000,3000000,888000,6660000,Fixed Deposit,Agriculture,BSABUF06
100,500055976476,1025469806552710,264000,300000,163680,792000,Fixed Deposit,Business,BSABUF07
101,500053187567,1050843061938820,1566000,1800000,626400,6264000,Vehicles,Business,BSABUF09
102,500059432595,1053538443063620,711000,900000,270180,3555000,Fixed Deposit,Business,BSABUF16
103,500055828023,1095468234386720,240000,300000,84000,960000,Residential Mortgages,Agriculture,BSABUF25
104,500053464558,1034164872640060,2548000,2800000,764400,10192000,Vehicles,Agriculture,BSABUF04
105,500054432430,1091094234766580,1764000,2100000,1111320,7056000,Equipment and machinery,Education,BSABUF11
106,500053205050,1088440608969700,3024000,4200000,120960,15120000,Vehicles,Agriculture,BSABUF02
107,500059907930,1074633852582210,3069000,3100000,521730,9207000,Equipment and machinery,Business,BSABUF04
108,500054597175,1024456987916670,2150000,2500000,516000,8600000,Vehicles,Home,BSABUF08
109,500053102701,1048217824167190,3626000,4900000,1232840,14504000,Vehicles,Agriculture,BSABUF06
110,500055454092,1073438921008450,3201000,3300000,2048640,9603000,Vehicles,Education,BSABUF03
111,500051719407,1062576908045090,3552000,3700000,177600,10656000,Residential Mortgages,Education,BSABUF02
112,500053348131,1067773829781550,1215000,1500000,1178550,4860000,Equipment and machinery,Home,BSABUF20
113,500054923315,1065666374169850,2883000,3100000,1124370,14415000,Vehicles,Agriculture,BSABUF18
114,500053809401,1047258370085220,2349000,2900000,352350,7047000,Residential Mortgages,Home,BSABUF04
115,500059226684,1039699389824140,1805000,1900000,1462050,5415000,Equipment and machinery,Education,BSABUF09
116,500055840095,1042945404461800,2450000,2500000,2205000,9800000,Fixed Deposit,Agriculture,BSABUF12
117,500052557968,1042161820171070,2448000,3400000,24480,9792000,Vehicles,Business,BSABUF25
118,500056917791,1056367679635930,2376000,2700000,498960,9504000,Vehicles,Business,BSABUF09
119,500052173513,1065910603098310,1504000,1600000,406080,7520000,Vehicles,Agriculture,BSABUF08
120,500059726381,1083427235313030,2937000,3300000,792990,11748000,Residential Mortgages,Business,BSABUF22
121,500057875314,1013734344098370,1710000,1800000,991799,6840000,Equipment and machinery,Business,BSABUF17
122,500055143286,1092061954278430,1638000,2100000,1113840,6552000,Equipment and machinery,Business,BSABUF02
123,500058441423,1076260405399400,2511000,2700000,1531710,10044000,Residential Mortgages,Business,BSABUF16
124,500059328713,1021054866703200,760000,800000,433199,2280000,Equipment and machinery,Agriculture,BSABUF15
125,500055734925,1044269554358610,1104000,1200000,761759,5520000,Equipment and machinery,Business,BSABUF15
126,500055844879,1037914571503080,2288000,2600000,983840,9152000,Residential Mortgages,Home,BSABUF20
127,500054615507,1079194072768080,1694000,2200000,1338260,5082000,Fixed Deposit,Education,BSABUF18
128,500051598546,1041157628397620,336000,400000,16800,1008000,Residential Mortgages,Agriculture,BSABUF22
129,500055238326,1014619277115160,3432000,4400000,1407120,10296000,Residential Mortgages,Education,BSABUF20
130,500051762480,1018052789437470,1995000,2100000,698250,9975000,Equipment and machinery,Business,BSABUF15
131,500059473315,1089925589366800,1424000,1600000,256320,7120000,Fixed Deposit,Education,BSABUF17
132,500052666212,1097113610435100,4018000,4100000,1044680,12054000,Vehicles,Home,BSABUF19
133,500053792581,1030829058609890,365000,500000,226300,1825000,Fixed Deposit,Agriculture,BSABUF16
134,500057113884,1041940621067820,1176000,1400000,1058400,3528000,Fixed Deposit,Business,BSABUF12
135,500053961868,1094598103446290,2184000,2800000,1725360,8736000,Vehicles,Agriculture,BSABUF15
136,500055591207,1032546900162590,1950000,2500000,1131000,9750000,Fixed Deposit,Education,BSABUF01
137,500058726888,1071528187355220,3471000,3900000,3332160,17355000,Residential Mortgages,Business,BSABUF21
138,500054400270,1019577247001570,1617000,2100000,549780,8085000,Residential Mortgages,Agriculture,BSABUF02
139,500056546619,1022114569061890,3102000,3300000,3070980,15510000,Vehicles,Home,BSABUF02
140,500059696104,1069278099154970,4653000,4700000,4048110,13959000,Vehicles,Agriculture,BSABUF23
141,500053119584,1038443667620870,3648000,3800000,3429120,10944000,Fixed Deposit,Agriculture,BSABUF21
142,500051601792,1062963769260220,1794000,2300000,233220,5382000,Equipment and machinery,Agriculture,BSABUF05
143,500059469534,1080378041868370,1940000,2000000,1338600,9700000,Fixed Deposit,Agriculture,BSABUF23
144,500057292604,1038291919903740,2280000,2400000,889200,9120000,Fixed Deposit,Business,BSABUF17
145,500052353570,1082285102243700,3332000,3400000,1266160,16660000,Vehicles,Business,BSABUF23
146,500055705231,1064051413219880,3854000,4700000,115620,11562000,Fixed Deposit,Business,BSABUF13
147,500055869223,1024457301898940,4606000,4700000,46060,18424000,Equipment and machinery,Business,BSABUF22
148,500051806093,1032659157877770,4230000,4700000,930600,16920000,Residential Mortgages,Agriculture,BSABUF06
149,500057592497,1036177767688980,2886000,3900000,1702740,14430000,Equipment and machinery,Home,BSABUF09
150,500057686448,1055208405932910,3600000,3600000,3204000,10800000,Fixed Deposit,Business,BSABUF22
151,500054641908,1012913263638320,4455000,4500000,668250,13365000,Vehicles,Education,BSABUF06
152,500059437879,1059809288003910,801000,900000,680850,2403000,Fixed Deposit,Agriculture,BSABUF24
153,500059497384,1077279995083840,1900000,2500000,646000,9500000,Residential Mortgages,Home,BSABUF09
154,500052631727,1086494228096960,154000,200000,137060,462000,Vehicles,Business,BSABUF08
155,500058653866,1084994607815180,1638000,1800000,343980,8190000,Residential Mortgages,Education,BSABUF03
156,500052324300,1012082596563640,480000,600000,91200,2400000,Residential Mortgages,Home,BSABUF01
157,500054591763,1049778905775570,4158000,4200000,1413720,16632000,Equipment and machinery,Business,BSABUF21
158,500052716321,1044269554358610,3397000,4300000,2411870,16985000,Vehicles,Home,BSABUF13
159,500051913914,1052698006427820,688000,800000,591680,2064000,Vehicles,Education,BSABUF18
160,500055384348,1020558431763880,4324000,4600000,2075520,21620000,Equipment and machinery,Home,BSABUF12
161,500057938935,1063336680350990,4018000,4100000,3415300,12054000,Vehicles,Home,BSABUF17
162,500053962289,1039541042950990,4048000,4400000,323840,16192000,Residential Mortgages,Business,BSABUF08
163,500059990921,1090662329269570,3220000,3500000,2318400,16100000,Equipment and machinery,Agriculture,BSABUF04
164,500055196030,1017090753280750,3150000,3500000,1575000,15750000,Residential Mortgages,Agriculture,BSABUF07
165,500053962912,1032120209612600,3655000,4300000,621350,14620000,Equipment and machinery,Home,BSABUF13
166,500056626480,1071754281635940,4606000,4900000,736960,23030000,Equipment and machinery,Education,BSABUF25
167,500054360341,1042612301945650,2054000,2600000,1355640,6162000,Residential Mortgages,Agriculture,BSABUF15
168,500056981354,1022907870882950,2387000,3100000,71610,11935000,Vehicles,Business,BSABUF16
169,500053014635,1071263741064290,3784000,4300000,832480,11352000,Residential Mortgages,Business,BSABUF22
170,500058464748,1082367537130570,3330000,4500000,532800,16650000,Equipment and machinery,Education,BSABUF02
171,500051691847,1029558180242030,740000,1000000,407000,2220000,Equipment and machinery,Business,BSABUF14
172,500052169185,1020773846239680,4559000,4700000,957390,13677000,Fixed Deposit,Education,BSABUF08
173,500059648389,1067119860987600,2460000,3000000,73800,9840000,Fixed Deposit,Home,BSABUF24
174,500053575777,1011737237883460,2263000,3100000,384710,11315000,Residential Mortgages,Home,BSABUF24
175,500052381632,1028989555168070,2652000,3400000,2333760,13260000,Residential Mortgages,Home,BSABUF05
176,500051277409,1077451609958500,1222000,1300000,1026480,4888000,Fixed Deposit,Education,BSABUF21
177,500057670932,1069164806377330,3458000,3800000,2455180,10374000,Vehicles,Business,BSABUF03
178,500052512990,1068107144840690,1365000,1500000,259350,6825000,Residential Mortgages,Education,BSABUF06
179,500055331861,1087589795307820,2880000,3200000,2505600,8640000,Fixed Deposit,Business,BSABUF21
180,500052279794,1026606119892040,2162000,2300000,1599880,10810000,Equipment and machinery,Agriculture,BSABUF19
181,500058182240,1058630176921550,1131000,1300000,350610,3393000,Residential Mortgages,Agriculture,BSABUF24
182,500053275652,1051142252240330,1330000,1400000,1077300,6650000,Residential Mortgages,Home,BSABUF07
183,500054369868,1037779306109950,4753000,4900000,760480,23765000,Fixed Deposit,Agriculture,BSABUF12
184,500057454901,1031608564091280,2254000,2300000,653660,9016000,Fixed Deposit,Agriculture,BSABUF09
185,500057361342,1040287016535450,558000,600000,418500,1674000,Residential Mortgages,Education,BSABUF02
186,500058751611,1030174887178070,516000,600000,330240,1548000,Vehicles,Agriculture,BSABUF15
187,500056346725,1078209723791020,1120000,1400000,526400,4480000,Residential Mortgages,Business,BSABUF03
188,500055830430,1072189848778030,648000,900000,220320,2592000,Fixed Deposit,Education,BSABUF03
189,500058929255,1057403701916060,1552000,1600000,1241600,6208000,Equipment and machinery,Business,BSABUF01
190,500051571895,1065160467987130,3520000,4400000,3027200,14080000,Residential Mortgages,Education,BSABUF22
191,500051648479,1066830920038950,768000,800000,652800,3072000,Vehicles,Business,BSABUF24
192,500052798031,1022094297229610,3713000,4700000,1559460,14852000,Equipment and machinery,Agriculture,BSABUF07
193,500057876830,1073723314795130,2436000,2900000,170520,7308000,Equipment and machinery,Home,BSABUF11
194,500051618480,1043737449882070,2190000,3000000,810300,6570000,Vehicles,Business,BSABUF10
195,500059453397,1011398852558110,1360000,1600000,27200,4080000,Residential Mortgages,Agriculture,BSABUF19
196,500055903230,1067640939512330,1190000,1400000,47600,5950000,Vehicles,Agriculture,BSABUF13
197,500055889873,1033358347224880,2378000,2900000,903640,11890000,Equipment and machinery,Education,BSABUF03
198,500058390209,1036146986626260,1848000,2100000,776160,9240000,Equipment and machinery,Business,BSABUF12
199,500057742546,1098412225110240,948000,1200000,530880,3792000,Equipment and machinery,Home,BSABUF21
200,500054092939,1086922025707440,4017999,4900000,2571519,20089995,Fixed Deposit,Business,BSABUF18
201,500054227151,1078418865954520,2475000,3300000,123750,9900000,Fixed Deposit,Agriculture,BSABUF03
202,500052744349,1075665564625900,1377000,1700000,550800,6885000,Residential Mortgages,Business,BSABUF12
203,500059434563,1027726539952400,511000,700000,250390,1533000,Equipment and machinery,Education,BSABUF11
204,500058351935,1095352176234000,924000,1100000,138600,2772000,Equipment and machinery,Agriculture,BSABUF11
205,500054349182,1048518665365720,364000,400000,309400,1456000,Vehicles,Agriculture,BSABUF05
206,500056289758,1089729904849510,1596000,1900000,319200,6384000,Equipment and machinery,Education,BSABUF24
207,500052477098,1084269816635310,3744000,3900000,1010880,11232000,Equipment and machinery,Education,BSABUF13
208,500051448445,1023335215889570,2322000,2700000,1277100,11610000,Vehicles,Agriculture,BSABUF10
209,500056268563,1028328257508700,1909000,2300000,57270,9545000,Fixed Deposit,Business,BSABUF05
210,500057462147,1072812070148340,2340000,2600000,889200,11700000,Vehicles,Home,BSABUF17
211,500054762345,1017209105490410,1001000,1300000,170170,5005000,Vehicles,Home,BSABUF05
212,500053569166,1059527161611420,285000,300000,188100,855000,Equipment and machinery,Home,BSABUF25
213,500052066146,1024730023029760,1008000,1400000,876960,4032000,Residential Mortgages,Business,BSABUF25
214,500056276949,1082860401921760,2610000,3000000,1644300,10440000,Equipment and machinery,Home,BSABUF17
215,500054415767,1056968923589420,1512000,1800000,438479,7560000,Residential Mortgages,Business,BSABUF04
216,500057494589,1047446710179460,1500000,2000000,1275000,4500000,Vehicles,Agriculture,BSABUF01
217,500058749822,1078547065230870,1940000,2000000,1843000,9700000,Equipment and machinery,Agriculture,BSABUF24
218,500059492786,1072454837295260,485000,500000,392850,1455000,Residential Mortgages,Home,BSABUF23
219,500052126978,1056259371694640,2870000,3500000,1635899,8610000,Equipment and machinery,Agriculture,BSABUF01
220,500058556445,1016893602604880,1302000,1400000,572880,3906000,Residential Mortgages,Agriculture,BSABUF11
221,500057474569,1060100951920020,2375000,2500000,1092500,11875000,Residential Mortgages,Business,BSABUF16
222,500055297076,1082548478097130,1216000,1600000,170240,4864000,Residential Mortgages,Agriculture,BSABUF24
223,500053280003,1066696199124580,1290000,1500000,1109400,5160000,Residential Mortgages,Home,BSABUF14
224,500056498752,1029201234879390,279000,300000,276210,1116000,Vehicles,Business,BSABUF04
225,500051925260,1070365345210280,1056000,1200000,844800,4224000,Vehicles,Home,BSABUF17
226,500052554253,1094696670636250,1911000,2100000,458640,9555000,Equipment and machinery,Education,BSABUF02
227,500059128323,1098017144114060,980000,1000000,921200,4900000,Fixed Deposit,Education,BSABUF08
228,500059606005,1097217497106690,3731000,4100000,1119300,18655000,Vehicles,Business,BSABUF08
229,500053774530,1066899189919720,1577000,1900000,567720,7885000,Equipment and machinery,Education,BSABUF02
230,500052350234,1046817647814770,370000,500000,188700,1850000,Vehicles,Agriculture,BSABUF17
231,500052424535,1094450847179680,3827000,4300000,1301180,19135000,Equipment and machinery,Business,BSABUF05
232,500055931360,1049672103359030,3128000,3400000,2940320,15640000,Vehicles,Business,BSABUF06
233,500053376643,1063462163755730,770000,1000000,600600,3850000,Residential Mortgages,Agriculture,BSABUF02
234,500054490568,1055225663541790,1140000,1200000,786599,5700000,Fixed Deposit,Agriculture,BSABUF23
235,500054738748,1021784199709660,4017999,4900000,2008999,12053997,Fixed Deposit,Agriculture,BSABUF20
236,500054183501,1017945278444710,1445000,1700000,549100,5780000,Equipment and machinery,Agriculture,BSABUF04
237,500059283487,1027403742573630,2403000,2700000,1513890,9612000,Fixed Deposit,Business,BSABUF05
238,500055620741,1018245423346620,2716000,2800000,353080,10864000,Equipment and machinery,Home,BSABUF11
239,500057147405,1059764390605750,2175000,2900000,1827000,10875000,Residential Mortgages,Education,BSABUF15
240,500054023928,1067508521282750,2528000,3200000,606720,10112000,Fixed Deposit,Education,BSABUF10
241,500057629226,1013241905064630,2673000,2700000,2539350,10692000,Vehicles,Education,BSABUF06
242,500053096398,1078152598274860,76000,100000,72200,304000,Equipment and machinery,Education,BSABUF06
243,500057003992,1088310057161480,3564000,4400000,1069200,10692000,Equipment and machinery,Home,BSABUF18
244,500052699538,1082775954245430,4080000,4800000,1305600,20400000,Vehicles,Business,BSABUF17
245,500052428170,1074204911407590,3818000,4600000,3168940,11454000,Vehicles,Business,BSABUF11
246,500056578360,1044899878612450,392000,400000,66640,1960000,Residential Mortgages,Home,BSABUF17
247,500054674466,1076131008580420,1092000,1400000,960960,4368000,Equipment and machinery,Agriculture,BSABUF01
248,500058865656,1021804622437410,2760000,3000000,1269600,11040000,Vehicles,Agriculture,BSABUF08
249,500059024990,1054248683245700,2336000,3200000,1448320,7008000,Vehicles,Home,BSABUF05
250,500058483256,1028604576248680,4176000,4800000,3048480,20880000,Equipment and machinery,Business,BSABUF19
251,500057404046,1036155043696780,1666000,1700000,483139,6664000,Fixed Deposit,Agriculture,BSABUF08
252,500053463632,1050825749163020,784000,800000,141120,3136000,Fixed Deposit,Home,BSABUF25
253,500059385144,1060676045485370,2268000,2800000,1973160,11340000,Equipment and machinery,Agriculture,BSABUF10
254,500059565096,1074282333681690,3382000,3800000,3246720,10146000,Residential Mortgages,Agriculture,BSABUF09
255,500057034166,1031986222671970,720000,1000000,662400,2160000,Equipment and machinery,Education,BSABUF22
256,500059249120,1034226930752250,2520000,3500000,554400,7560000,Residential Mortgages,Agriculture,BSABUF22
257,500059407495,1032290525261150,2184000,2600000,589680,10920000,Equipment and machinery,Agriculture,BSABUF11
258,500052300512,1073540812912790,252000,300000,206640,1008000,Equipment and machinery,Business,BSABUF23
259,500053344668,1083873109508030,3080000,4000000,92400,12320000,Equipment and machinery,Agriculture,BSABUF06
260,500052666581,1015521134371340,1632000,1700000,1191360,8160000,Equipment and machinery,Business,BSABUF17
261,500054903960,1085955663080830,2106000,2600000,884520,8424000,Equipment and machinery,Agriculture,BSABUF08
262,500057338539,1037891636968290,297000,300000,240570,1188000,Equipment and machinery,Home,BSABUF24
263,500059082663,1014527777660970,2888000,3800000,202160,14440000,Vehicles,Agriculture,BSABUF20
264,500055950830,1048046146891710,3600000,4000000,252000,18000000,Vehicles,Education,BSABUF19
265,500057668922,1038599127618810,1896000,2400000,606720,9480000,Fixed Deposit,Education,BSABUF19
266,500058521690,1022583867129090,491999,600000,418199,1967996,Vehicles,Home,BSABUF24
267,500053053731,1031054762069230,3872000,4400000,1742400,19360000,Residential Mortgages,Agriculture,BSABUF02
268,500058075937,1037155524605500,2850000,3800000,1453500,14250000,Fixed Deposit,Agriculture,BSABUF23
269,500056240127,1078620136874340,3159000,3900000,442260,15795000,Residential Mortgages,Business,BSABUF06
270,500054517080,1095411788796540,1302000,1400000,1067640,3906000,Vehicles,Home,BSABUF19
271,500058436087,1090991639072360,1480000,2000000,1184000,4440000,Residential Mortgages,Business,BSABUF13
272,500053266827,1056802185262830,1485000,1500000,1262250,5940000,Vehicles,Agriculture,BSABUF05
273,500053630004,1016532169785020,1886000,2300000,716680,7544000,Residential Mortgages,Home,BSABUF02
274,500058314183,1081360066259360,3780000,4500000,1587600,15120000,Fixed Deposit,Agriculture,BSABUF11
275,500058486043,1085211769243250,3400000,4000000,2958000,13600000,Equipment and machinery,Agriculture,BSABUF19
276,500056778064,1094735586201570,750000,1000000,390000,3000000,Vehicles,Home,BSABUF04
277,500051622302,1092715235385330,2324000,2800000,859880,11620000,Fixed Deposit,Business,BSABUF10
278,500052241731,1074983491027030,2387000,3100000,1098020,11935000,Vehicles,Business,BSABUF20
279,500053838243,1099581620082960,2700000,3000000,783000,10800000,Residential Mortgages,Agriculture,BSABUF11
280,500055919463,1025112125465510,3977000,4100000,1312410,19885000,Fixed Deposit,Business,BSABUF01
281,500057846423,1087576589781720,1100000,1100000,825000,4400000,Residential Mortgages,Business,BSABUF13
282,500052226316,1042460418986310,3570000,4200000,2713200,17850000,Fixed Deposit,Business,BSABUF20
283,500053406945,1067291614145100,3696000,4800000,2624160,18480000,Equipment and machinery,Business,BSABUF17
284,500056915315,1084379479705630,2470000,2600000,1333800,9880000,Equipment and machinery,Business,BSABUF21
285,500056178569,1063569045170280,2993000,4100000,1706009,11972000,Equipment and machinery,Home,BSABUF09
286,500055195852,1044618876004050,2736000,3600000,1696320,10944000,Equipment and machinery,Education,BSABUF05
287,500052454307,1058597723170680,3268000,4300000,2091520,9804000,Residential Mortgages,Home,BSABUF05
